"","police_dist","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"220","20","2016","no",1894,270,2,24,125,121
"221","20","2016","yes",133,132,0,16,62,54
"222","20","2017","no",1906,289,1,16,164,109
"223","20","2017","yes",109,107,0,26,48,33
"224","20",NA,"no",1,0,0,0,0,0
"225","22","2009","no",2669,701,4,64,313,324
"226","22","2009","yes",98,99,0,17,44,38
"227","22","2010","no",2441,746,8,74,368,304
"228","22","2010","yes",98,102,1,10,54,38
"229","22","2011","no",2388,656,5,98,311,247
"230","22","2011","yes",91,91,1,13,47,31
"231","22","2012","no",2223,589,3,51,278,260
"232","22","2012","yes",74,72,1,9,40,23
"233","22","2013","no",2341,652,8,54,334,264
"234","22","2013","yes",73,75,0,14,42,19
"235","22","2014","no",2573,615,0,95,282,238
"236","22","2014","yes",70,69,1,11,34,24
"237","22","2015","no",2779,763,4,123,341,299
"238","22","2015","yes",82,87,1,22,45,20
"239","22","2016","no",3140,718,5,77,334,307
"240","22","2016","yes",83,83,1,7,37,39
"241","22","2017","no",3328,807,5,72,398,337
"242","22","2017","yes",78,76,0,6,50,20
"243","24","2009","no",2408,331,2,24,153,154
"244","24","2009","yes",169,165,5,22,85,58
"245","24","2010","no",2242,292,1,12,141,139
"246","24","2010","yes",154,154,3,17,76,61
"247","24","2011","no",2098,305,2,32,146,127
"248","24","2011","yes",127,131,0,14,71,46
"249","24","2012","no",2153,339,0,23,183,133
"250","24","2012","yes",165,157,4,23,87,47
"251","24","2013","no",2293,343,0,25,168,150
"252","24","2013","yes",159,155,1,21,94,40
"253","24","2014","no",2305,329,0,32,166,131
"254","24","2014","yes",144,138,0,22,89,27
"255","24","2015","no",2282,289,1,32,149,108
"256","24","2015","yes",159,155,2,23,97,35
"257","24","2016","no",2460,327,1,33,164,130
"258","24","2016","yes",160,160,4,19,80,61
"259","24","2017","no",2584,337,0,35,191,111
"260","24","2017","yes",168,167,1,22,113,32
"261","25","2009","no",4650,789,3,73,364,352
"262","25","2009","yes",261,262,2,40,126,96
"263","25","2010","no",4454,762,7,97,349,316
"264","25","2010","yes",278,278,1,36,130,112
"265","25","2011","no",3965,752,4,87,356,309
"266","25","2011","yes",239,242,2,36,127,79
"267","25","2012","no",4090,754,5,93,349,312
"268","25","2012","yes",235,227,2,29,118,80
"269","25","2013","no",4250,706,3,74,292,340
"270","25","2013","yes",269,265,2,39,142,84
"271","25","2014","no",4342,712,2,93,320,299
"272","25","2014","yes",260,246,3,43,136,67
"273","25","2015","no",4663,738,2,86,347,305
"274","25","2015","yes",294,279,7,64,141,74
"275","25","2016","no",5041,836,1,119,346,371
"276","25","2016","yes",231,234,0,29,103,102
"277","25","2017","no",4706,944,4,110,457,377
"278","25","2017","yes",266,268,1,55,143,70
"279","25",NA,"no",1,0,0,0,0,0
"280","3","2009","no",2036,676,4,57,253,366
"281","3","2009","yes",122,125,0,9,49,67
"282","3","2010","no",1897,609,5,43,258,308
"283","3","2010","yes",119,130,2,12,74,44
"284","3","2011","no",1866,577,2,42,274,261
"285","3","2011","yes",98,96,1,9,55,32
"286","3","2012","no",1921,560,2,31,277,252
"287","3","2012","yes",94,93,1,15,46,32
"288","3","2013","no",1912,581,3,34,301,246
"289","3","2013","yes",93,93,0,11,51,31
"290","3","2014","no",1992,564,1,39,271,254
"291","3","2014","yes",102,105,0,10,67,28
"292","3","2015","no",2332,677,6,64,337,276
"293","3","2015","yes",94,95,2,18,57,20
"294","3","2016","no",2634,787,7,55,421,311
"295","3","2016","yes",86,91,2,18,53,20
"296","3","2017","no",2683,786,1,83,416,287
"297","3","2017","yes",103,110,0,22,64,24
"298","3",NA,"no",4,0,0,0,0,0
"299","4","2009","no",2805,872,10,94,486,292
"300","4","2009","yes",128,127,5,19,69,39
"301","4","2010","no",2774,801,2,81,402,318
"302","4","2010","yes",143,141,5,19,87,35
"303","4","2011","no",2765,792,5,60,432,300
"304","4","2011","yes",135,137,2,20,79,38
"305","4","2012","no",2566,722,4,55,392,275
"306","4","2012","yes",130,129,3,17,72,40
"307","4","2013","no",2699,805,13,99,424,282
"308","4","2013","yes",121,125,0,20,75,30
"309","4","2014","no",2762,772,7,74,398,300
"310","4","2014","yes",113,113,3,17,67,29
"311","4","2015","no",2863,794,2,73,407,314
"312","4","2015","yes",131,130,3,30,71,29
"313","4","2016","no",3062,733,6,60,437,236
"314","4","2016","yes",123,123,3,19,56,48
"315","4","2017","no",3160,863,9,71,463,329
"316","4","2017","yes",112,111,4,14,69,28
"317","5","2009","no",2125,750,6,68,418,264
"318","5","2009","yes",90,94,1,12,40,42
"319","5","2010","no",2032,705,6,73,382,250
"320","5","2010","yes",100,105,1,12,55,38
"321","5","2011","no",1877,576,5,62,288,226
"322","5","2011","yes",71,70,1,7,44,19
"323","5","2012","no",1828,639,5,87,347,205
"324","5","2012","yes",76,74,5,8,42,24
"325","5","2013","no",1848,556,6,53,337,166
"326","5","2013","yes",79,77,0,5,48,24
"327","5","2014","no",2108,516,7,59,284,173
"328","5","2014","yes",62,58,1,11,35,12
"329","5","2015","no",2394,614,4,50,330,234
"330","5","2015","yes",54,50,1,8,33,9
"331","5","2016","no",2777,784,6,63,454,267
"332","5","2016","yes",56,56,0,3,29,24
"333","5","2017","no",2822,759,4,71,435,253
"334","5","2017","yes",60,59,2,7,37,15
"335","6","2009","no",3194,1155,7,84,721,350
"336","6","2009","yes",163,161,2,25,90,46
"337","6","2010","no",3065,1033,4,50,665,318
"338","6","2010","yes",175,184,1,26,99,59
"339","6","2011","no",2859,928,5,62,546,320
"340","6","2011","yes",153,165,0,24,78,63
"341","6","2012","no",2876,979,2,77,565,337
"342","6","2012","yes",156,161,4,31,83,47
"343","6","2013","no",2910,846,7,59,473,314
"344","6","2013","yes",123,123,1,17,75,31
"345","6","2014","no",3276,948,6,79,568,301
"346","6","2014","yes",148,146,0,24,88,34
"347","6","2015","no",3621,1049,6,65,576,408
"348","6","2015","yes",160,163,3,34,100,29
"349","6","2016","no",3889,959,6,78,539,342
"350","6","2016","yes",154,148,1,19,64,65
"351","6","2017","no",3947,1107,5,78,579,450
"352","6","2017","yes",141,143,1,22,79,42
"353","6",NA,"no",1,0,0,0,0,0
"354","7","2009","no",2369,765,10,87,388,290
"355","7","2009","yes",149,159,0,27,82,50
"356","7","2010","no",2258,773,6,70,395,308
"357","7","2010","yes",140,149,4,17,85,47
"358","7","2011","no",2142,808,6,74,386,348
"359","7","2011","yes",131,140,2,20,68,52
"360","7","2012","no",2029,704,4,64,370,270
"361","7","2012","yes",103,119,1,15,54,50
"362","7","2013","no",2121,664,4,57,349,258
"363","7","2013","yes",124,125,2,19,71,35
