"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"254","17031010702","2011","PEDALCYCLIST",4,4,0,1,2,1
"255","17031010702","2011","PEDESTRIAN",4,4,0,1,1,2
"256","17031010702","2011","Vehicle/Other",72,13,0,1,6,6
"257","17031010702","2012","PEDESTRIAN",5,5,0,2,2,1
"258","17031010702","2012","Vehicle/Other",65,8,0,0,2,6
"259","17031010702","2013","PEDALCYCLIST",2,2,0,0,2,0
"260","17031010702","2013","PEDESTRIAN",3,2,0,0,2,0
"261","17031010702","2013","Vehicle/Other",65,6,0,1,3,2
"262","17031010702","2014","PEDALCYCLIST",1,1,0,0,1,0
"263","17031010702","2014","PEDESTRIAN",6,3,0,0,2,1
"264","17031010702","2014","Vehicle/Other",53,7,0,1,1,5
"265","17031010702","2015","PEDALCYCLIST",8,8,0,2,4,2
"266","17031010702","2015","PEDESTRIAN",3,3,0,1,2,0
"267","17031010702","2015","Vehicle/Other",69,9,0,4,3,2
"268","17031010702","2016","PEDALCYCLIST",3,3,0,1,1,1
"269","17031010702","2016","PEDESTRIAN",4,4,0,0,2,2
"270","17031010702","2016","Vehicle/Other",83,8,0,0,4,4
"271","17031010702","2017","PEDALCYCLIST",2,2,0,0,2,0
"272","17031010702","2017","PEDESTRIAN",5,6,0,1,5,0
"273","17031010702","2017","Vehicle/Other",82,11,0,1,8,2
"274","17031020100","2009","PEDALCYCLIST",1,1,0,0,0,1
"275","17031020100","2009","PEDESTRIAN",4,5,0,2,1,2
"276","17031020100","2009","Vehicle/Other",55,4,0,0,3,1
"277","17031020100","2010","PEDALCYCLIST",3,3,0,0,2,1
"278","17031020100","2010","PEDESTRIAN",3,3,0,0,2,1
"279","17031020100","2010","Vehicle/Other",59,7,0,1,5,1
"280","17031020100","2011","PEDALCYCLIST",5,4,0,0,1,3
"281","17031020100","2011","PEDESTRIAN",2,2,0,1,1,0
"282","17031020100","2011","Vehicle/Other",61,17,0,3,4,10
"283","17031020100","2012","PEDESTRIAN",3,3,0,0,3,0
"284","17031020100","2012","Vehicle/Other",87,17,0,1,15,1
"285","17031020100","2013","PEDALCYCLIST",2,3,0,0,3,0
"286","17031020100","2013","PEDESTRIAN",6,6,0,1,4,1
"287","17031020100","2013","Vehicle/Other",89,18,0,1,10,7
"288","17031020100","2014","PEDALCYCLIST",1,1,0,0,0,1
"289","17031020100","2014","PEDESTRIAN",3,3,0,1,2,0
"290","17031020100","2014","Vehicle/Other",90,15,0,0,7,8
"291","17031020100","2015","PEDALCYCLIST",1,1,0,0,1,0
"292","17031020100","2015","PEDESTRIAN",3,3,0,0,3,0
"293","17031020100","2015","Vehicle/Other",86,20,1,1,10,9
"294","17031020100","2016","PEDESTRIAN",3,3,0,0,2,1
"295","17031020100","2016","Vehicle/Other",102,13,0,2,9,2
"296","17031020100","2017","PEDALCYCLIST",1,1,0,0,0,1
"297","17031020100","2017","PEDESTRIAN",1,1,0,0,1,0
"298","17031020100","2017","Vehicle/Other",68,7,0,0,2,5
"299","17031020200","2009","PEDALCYCLIST",1,1,0,0,1,0
"300","17031020200","2009","PEDESTRIAN",2,2,0,0,1,1
"301","17031020200","2009","Vehicle/Other",136,13,0,1,8,4
"302","17031020200","2010","PEDALCYCLIST",2,2,0,0,2,0
"303","17031020200","2010","PEDESTRIAN",5,5,0,1,1,3
