"","commarea","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"265","GREATER GRAND CROSSING","2020","PEDALCYCLIST",11,7,0,1,4,2
"266","GREATER GRAND CROSSING","2020","PEDESTRIAN",42,43,0,7,30,6
"267","GREATER GRAND CROSSING","2020","Vehicle/Other",2325,672,7,58,367,240
"268","HEGEWISCH","2018","PEDESTRIAN",3,2,0,0,2,0
"269","HEGEWISCH","2018","Vehicle/Other",264,59,1,9,31,18
"270","HEGEWISCH","2019","PEDESTRIAN",5,5,0,0,5,0
"271","HEGEWISCH","2019","Vehicle/Other",322,61,4,7,31,19
"272","HEGEWISCH","2020","PEDESTRIAN",2,2,0,0,2,0
"273","HEGEWISCH","2020","Vehicle/Other",295,66,0,10,48,8
"274","HERMOSA","2018","PEDALCYCLIST",16,12,0,0,9,3
"275","HERMOSA","2018","PEDESTRIAN",20,18,0,6,11,1
"276","HERMOSA","2018","Vehicle/Other",639,74,0,7,36,31
"277","HERMOSA","2019","PEDALCYCLIST",19,11,0,2,8,1
"278","HERMOSA","2019","PEDESTRIAN",24,22,1,5,13,3
"279","HERMOSA","2019","Vehicle/Other",681,79,0,5,48,26
"280","HERMOSA","2020","PEDALCYCLIST",11,10,0,2,4,4
"281","HERMOSA","2020","PEDESTRIAN",13,13,0,2,10,1
"282","HERMOSA","2020","Vehicle/Other",528,53,1,3,34,15
"283","HUMBOLDT PARK","2018","PEDALCYCLIST",55,44,1,6,33,4
"284","HUMBOLDT PARK","2018","PEDESTRIAN",86,82,2,9,52,19
"285","HUMBOLDT PARK","2018","Vehicle/Other",2473,552,2,46,333,171
"286","HUMBOLDT PARK","2019","PEDALCYCLIST",47,37,0,3,30,4
"287","HUMBOLDT PARK","2019","PEDESTRIAN",68,67,2,12,46,7
"288","HUMBOLDT PARK","2019","Vehicle/Other",2302,480,2,37,257,184
"289","HUMBOLDT PARK","2020","PEDALCYCLIST",21,16,0,2,14,0
"290","HUMBOLDT PARK","2020","PEDESTRIAN",65,56,2,12,35,7
"291","HUMBOLDT PARK","2020","Vehicle/Other",2215,465,4,48,265,148
"292","HYDE PARK","2018","PEDALCYCLIST",15,10,0,0,8,2
"293","HYDE PARK","2018","PEDESTRIAN",25,20,0,3,10,7
"294","HYDE PARK","2018","Vehicle/Other",1012,151,0,29,76,46
"295","HYDE PARK","2019","PEDALCYCLIST",11,4,0,0,4,0
"296","HYDE PARK","2019","PEDESTRIAN",32,33,0,5,21,7
"297","HYDE PARK","2019","Vehicle/Other",986,162,2,20,89,51
"298","HYDE PARK","2020","PEDALCYCLIST",11,7,0,0,5,2
"299","HYDE PARK","2020","PEDESTRIAN",15,15,0,4,10,1
"300","HYDE PARK","2020","Vehicle/Other",780,165,1,16,100,48
"301","IRVING PARK","2018","PEDALCYCLIST",41,29,0,3,23,3
"302","IRVING PARK","2018","PEDESTRIAN",52,47,0,12,26,9
"303","IRVING PARK","2018","Vehicle/Other",1966,224,0,19,115,90
"304","IRVING PARK","2019","PEDALCYCLIST",26,21,1,2,15,3
"305","IRVING PARK","2019","PEDESTRIAN",34,32,0,7,19,6
"306","IRVING PARK","2019","Vehicle/Other",1935,248,0,25,123,100
"307","IRVING PARK","2020","PEDALCYCLIST",26,19,0,4,12,3
"308","IRVING PARK","2020","PEDESTRIAN",32,27,0,5,14,8
"309","IRVING PARK","2020","Vehicle/Other",1325,172,2,17,88,65
"310","JEFFERSON PARK","2018","PEDALCYCLIST",10,11,0,3,8,0
"311","JEFFERSON PARK","2018","PEDESTRIAN",19,19,0,4,12,3
"312","JEFFERSON PARK","2018","Vehicle/Other",1051,164,0,26,74,64
"313","JEFFERSON PARK","2019","PEDALCYCLIST",8,7,0,1,5,1
"314","JEFFERSON PARK","2019","PEDESTRIAN",15,14,0,4,8,2
"315","JEFFERSON PARK","2019","Vehicle/Other",959,148,1,13,78,56
"316","JEFFERSON PARK","2020","PEDALCYCLIST",11,9,1,1,6,1
"317","JEFFERSON PARK","2020","PEDESTRIAN",12,11,0,5,3,3
"318","JEFFERSON PARK","2020","Vehicle/Other",623,100,0,10,47,43
"319","KENWOOD","2018","PEDALCYCLIST",2,2,0,1,1,0
"320","KENWOOD","2018","PEDESTRIAN",12,8,0,1,6,1
"321","KENWOOD","2018","Vehicle/Other",493,70,0,3,31,36
"322","KENWOOD","2019","PEDALCYCLIST",5,4,0,1,3,0
"323","KENWOOD","2019","PEDESTRIAN",12,14,1,2,8,3
"324","KENWOOD","2019","Vehicle/Other",486,99,1,15,50,33
"325","KENWOOD","2020","PEDALCYCLIST",9,7,0,2,5,0
"326","KENWOOD","2020","PEDESTRIAN",9,9,0,2,5,2
"327","KENWOOD","2020","Vehicle/Other",388,38,1,6,20,11
"328","LAKE VIEW","2018","PEDALCYCLIST",100,65,0,12,42,11
"329","LAKE VIEW","2018","PEDESTRIAN",110,100,1,23,63,13
"330","LAKE VIEW","2018","Vehicle/Other",2537,239,1,20,101,117
"331","LAKE VIEW","2019","PEDALCYCLIST",91,70,0,5,54,11
"332","LAKE VIEW","2019","PEDESTRIAN",98,81,1,11,51,18
"333","LAKE VIEW","2019","Vehicle/Other",2626,244,0,19,102,123
"334","LAKE VIEW","2020","PEDALCYCLIST",92,70,0,8,50,12
"335","LAKE VIEW","2020","PEDESTRIAN",68,59,0,9,29,21
"336","LAKE VIEW","2020","Vehicle/Other",1424,196,2,33,91,70
"337","LINCOLN PARK","2018","PEDALCYCLIST",85,59,0,11,41,7
"338","LINCOLN PARK","2018","PEDESTRIAN",82,77,0,11,54,12
