"","commarea","year","ped_cyc","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"415","ENGLEWOOD","2009","yes",75,83,0,16,45,22
"416","ENGLEWOOD","2010","no",1216,388,8,29,212,147
"417","ENGLEWOOD","2010","yes",65,66,3,6,45,15
"418","ENGLEWOOD","2011","no",1074,388,2,39,199,150
"419","ENGLEWOOD","2011","yes",60,67,1,7,33,27
"420","ENGLEWOOD","2012","no",1104,381,3,39,189,153
"421","ENGLEWOOD","2012","yes",57,57,1,12,30,15
"422","ENGLEWOOD","2013","no",1167,369,2,26,205,138
"423","ENGLEWOOD","2013","yes",60,62,2,7,42,13
"424","ENGLEWOOD","2014","no",1235,399,1,53,210,136
"425","ENGLEWOOD","2014","yes",53,54,0,5,33,16
"426","ENGLEWOOD","2015","no",963,254,2,25,142,87
"427","ENGLEWOOD","2015","yes",31,31,2,7,23,1
"428","ENGLEWOOD","2016","no",850,218,0,17,131,70
"429","ENGLEWOOD","2016","yes",12,12,0,4,4,4
"430","ENGLEWOOD","2017","no",1291,419,2,41,236,142
"431","ENGLEWOOD","2017","yes",39,38,1,5,27,6
"432","FOREST GLEN","2009","no",620,153,3,9,75,69
"433","FOREST GLEN","2009","yes",11,11,0,3,3,5
"434","FOREST GLEN","2010","no",622,146,1,26,64,56
"435","FOREST GLEN","2010","yes",13,13,0,2,9,2
"436","FOREST GLEN","2011","no",535,125,1,15,62,48
"437","FOREST GLEN","2011","yes",2,1,0,0,0,1
"438","FOREST GLEN","2012","no",591,135,0,10,68,57
"439","FOREST GLEN","2012","yes",21,19,1,3,11,5
"440","FOREST GLEN","2013","no",635,120,3,8,67,45
"441","FOREST GLEN","2013","yes",15,15,0,1,14,0
"442","FOREST GLEN","2014","no",629,129,0,12,65,52
"443","FOREST GLEN","2014","yes",7,6,0,1,3,2
"444","FOREST GLEN","2015","no",494,112,1,13,51,48
"445","FOREST GLEN","2015","yes",8,8,0,1,4,3
"446","FOREST GLEN","2016","no",526,74,0,8,28,38
"447","FOREST GLEN","2016","yes",9,9,0,4,2,3
"448","FOREST GLEN","2017","no",617,152,1,16,68,68
"449","FOREST GLEN","2017","yes",9,9,0,5,4,0
"450","FULLER PARK","2009","no",431,160,0,26,82,52
"451","FULLER PARK","2009","yes",10,10,0,1,4,5
"452","FULLER PARK","2010","no",495,172,0,18,102,52
"453","FULLER PARK","2010","yes",10,10,0,0,8,2
"454","FULLER PARK","2011","no",489,175,3,16,113,46
"455","FULLER PARK","2011","yes",4,3,1,2,1,0
"456","FULLER PARK","2012","no",508,190,3,18,114,58
"457","FULLER PARK","2012","yes",5,5,1,0,4,1
"458","FULLER PARK","2013","no",542,179,0,21,117,41
